name,model 1 (large_vox_iter5.pt),model 2 (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,numel,dtype,shape,message
encoder.layers.16.fc2.bias,encoder.layers.16.fc2.bias,av_romanizer.w2v_model.encoder.layers.16.fc2.bias,0.41023659901956533,7.630819593211193,7.329416319206483,0.0537604898148208,0.9993076087058567,0.04638671875,1024,torch.float32,"(1024,)",
encoder.layers.16.fc2.weight,encoder.layers.16.fc2.weight,av_romanizer.w2v_model.encoder.layers.16.fc2.weight,71.16359501548064,325.1589911133229,311.95477645208945,0.21885784173404277,0.9758963337461324,0.228515625,4194304,torch.float32,"(1024, 4096)",
encoder.layers.16.final_layer_norm.bias,encoder.layers.16.final_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.16.final_layer_norm.bias,0.3988392272462485,5.820995983647417,5.632107848696557,0.06851735138912382,0.9981181032560374,0.0498046875,1024,torch.float32,"(1024,)",
encoder.layers.16.final_layer_norm.weight,encoder.layers.16.final_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.16.final_layer_norm.weight,0.933114967018384,21.112014698310734,20.648961062907357,0.04419829089513881,0.9992472781668925,0.115234375,1024,torch.float32,"(1024,)",
encoder.layers.16.self_attn.k_proj.bias,encoder.layers.16.self_attn.k_proj.bias,av_romanizer.w2v_model.encoder.layers.16.self_attn.k_proj.bias,0.01565330623216225,0.08246304217666865,0.07928966065869197,0.18982208052216457,0.982032817555214,0.0022954940795898438,1024,torch.float32,"(1024,)",
encoder.layers.16.self_attn.k_proj.weight,encoder.layers.16.self_attn.k_proj.weight,av_romanizer.w2v_model.encoder.layers.16.self_attn.k_proj.weight,27.172660932847695,138.06978775647337,132.83941223963865,0.1968038147547142,0.9806174027824687,0.149017333984375,1048576,torch.float32,"(1024, 1024)",
encoder.layers.16.self_attn.out_proj.bias,encoder.layers.16.self_attn.out_proj.bias,av_romanizer.w2v_model.encoder.layers.16.self_attn.out_proj.bias,0.33060848325702485,5.100855830808177,4.894369262962325,0.06481431630751332,0.9986648506681719,0.0419921875,1024,torch.float32,"(1024,)",
encoder.layers.16.self_attn.out_proj.weight,encoder.layers.16.self_attn.out_proj.weight,av_romanizer.w2v_model.encoder.layers.16.self_attn.out_proj.weight,27.558997772816266,148.48006255373426,141.58892459268026,0.18560739602896376,0.9830660207299468,0.146087646484375,1048576,torch.float32,"(1024, 1024)",
encoder.layers.16.self_attn.q_proj.bias,encoder.layers.16.self_attn.q_proj.bias,av_romanizer.w2v_model.encoder.layers.16.self_attn.q_proj.bias,0.9073988266388137,8.524406498048666,8.239658192847044,0.10644715580451584,0.994715901907897,0.158203125,1024,torch.float32,"(1024,)",
encoder.layers.16.self_attn.q_proj.weight,encoder.layers.16.self_attn.q_proj.weight,av_romanizer.w2v_model.encoder.layers.16.self_attn.q_proj.weight,27.221259792542888,136.27848622897784,131.22016879740642,0.19974730088214498,0.9799968972211717,0.1492919921875,1048576,torch.float32,"(1024, 1024)",
encoder.layers.16.self_attn.v_proj.bias,encoder.layers.16.self_attn.v_proj.bias,av_romanizer.w2v_model.encoder.layers.16.self_attn.v_proj.bias,0.25572670066727715,1.9848134622063631,1.8815765864885117,0.12884167985388695,0.99267142297932,0.02880859375,1024,torch.float32,"(1024,)",
encoder.layers.16.self_attn.v_proj.weight,encoder.layers.16.self_attn.v_proj.weight,av_romanizer.w2v_model.encoder.layers.16.self_attn.v_proj.weight,23.655109199345343,151.84464338191518,144.83924191344343,0.15578494356135245,0.9883943282329156,0.143829345703125,1048576,torch.float32,"(1024, 1024)",
encoder.layers.16.self_attn_layer_norm.bias,encoder.layers.16.self_attn_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.16.self_attn_layer_norm.bias,0.2198690920473601,1.088284552629029,1.0703041471052455,0.20203272344187026,0.9793873156723966,0.02252960205078125,1024,torch.float32,"(1024,)",
encoder.layers.16.self_attn_layer_norm.weight,encoder.layers.16.self_attn_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.16.self_attn_layer_norm.weight,0.46291232586344133,7.13903119572978,7.1260987430020135,0.06484245735476445,0.9978955564246764,0.0418701171875,1024,torch.float32,"(1024,)",
encoder.layers.17.fc1.bias,encoder.layers.17.fc1.bias,av_romanizer.w2v_model.encoder.layers.17.fc1.bias,0.6946577407876794,4.11644144020567,3.871162882099618,0.16875200361236575,0.9867468842963387,0.0411376953125,4096,torch.float32,"(4096,)",
encoder.layers.17.fc1.weight,encoder.layers.17.fc1.weight,av_romanizer.w2v_model.encoder.layers.17.fc1.weight,67.60037741971249,325.56040119923205,312.3139212479517,0.20764311989633938,0.9783906889971581,0.2447509765625,4194304,torch.float32,"(4096, 1024)",
encoder.layers.17.fc2.bias,encoder.layers.17.fc2.bias,av_romanizer.w2v_model.encoder.layers.17.fc2.bias,0.5356144962270428,9.632202706717559,9.213586270084702,0.055606647050056565,0.9993710040720026,0.06005859375,1024,torch.float32,"(1024,)",
encoder.layers.17.fc2.weight,encoder.layers.17.fc2.weight,av_romanizer.w2v_model.encoder.layers.17.fc2.weight,73.54521093970814,351.91111310388857,337.92850526271684,0.20898803192383605,0.978080433001017,0.30224609375,4194304,torch.float32,"(1024, 4096)",
encoder.layers.17.final_layer_norm.bias,encoder.layers.17.final_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.17.final_layer_norm.bias,0.45061884245477485,9.210966489132533,9.061984210049822,0.048921993472284694,0.9989166022693166,0.0537109375,1024,torch.float32,"(1024,)",
encoder.layers.17.final_layer_norm.weight,encoder.layers.17.final_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.17.final_layer_norm.weight,1.2925516590995363,38.28467132849751,37.37912871248435,0.03376159737689624,0.9997027763688776,0.1220703125,1024,torch.float32,"(1024,)",
encoder.layers.17.self_attn.k_proj.bias,encoder.layers.17.self_attn.k_proj.bias,av_romanizer.w2v_model.encoder.layers.17.self_attn.k_proj.bias,0.015139395511812502,0.18809683325388865,0.18795347869343348,0.08048724292650745,0.9967587220046846,0.002238750457763672,1024,torch.float32,"(1024,)",
encoder.layers.17.self_attn.k_proj.weight,encoder.layers.17.self_attn.k_proj.weight,av_romanizer.w2v_model.encoder.layers.17.self_attn.k_proj.weight,27.56714892089508,139.50533836142228,134.51517944978787,0.19760640879186803,0.9804150526289019,0.1865234375,1048576,torch.float32,"(1024, 1024)",
encoder.layers.17.self_attn.out_proj.bias,encoder.layers.17.self_attn.out_proj.bias,av_romanizer.w2v_model.encoder.layers.17.self_attn.out_proj.bias,0.33032626966832496,5.643436029155748,5.451599602654222,0.0585328278661717,0.9988247609532493,0.0394287109375,1024,torch.float32,"(1024,)",
encoder.layers.17.self_attn.out_proj.weight,encoder.layers.17.self_attn.out_proj.weight,av_romanizer.w2v_model.encoder.layers.17.self_attn.out_proj.weight,29.782313482989622,155.9443831870246,148.56542814907277,0.19098035385648737,0.9820325615223315,0.1572265625,1048576,torch.float32,"(1024, 1024)",
encoder.layers.17.self_attn.q_proj.bias,encoder.layers.17.self_attn.q_proj.bias,av_romanizer.w2v_model.encoder.layers.17.self_attn.q_proj.bias,0.8878956850727937,8.730608584825116,8.52130633611252,0.10169917439845681,0.9949960386833463,0.154296875,1024,torch.float32,"(1024,)",
encoder.layers.17.self_attn.q_proj.weight,encoder.layers.17.self_attn.q_proj.weight,av_romanizer.w2v_model.encoder.layers.17.self_attn.q_proj.weight,27.980860044249894,137.1025765498903,132.24997564659256,0.2040870474382947,0.9790594349829462,0.17669677734375,1048576,torch.float32,"(1024, 1024)",
encoder.layers.17.self_attn.v_proj.bias,encoder.layers.17.self_attn.v_proj.bias,av_romanizer.w2v_model.encoder.layers.17.self_attn.v_proj.bias,0.27961170914740213,2.439454754481321,2.339427636745427,0.11462057602574942,0.9940267964526451,0.036468505859375,1024,torch.float32,"(1024,)",
encoder.layers.17.self_attn.v_proj.weight,encoder.layers.17.self_attn.v_proj.weight,av_romanizer.w2v_model.encoder.layers.17.self_attn.v_proj.weight,25.51868014986787,159.35916751761283,151.90387054144904,0.16013311657798082,0.9876974669902353,0.1390380859375,1048576,torch.float32,"(1024, 1024)",
encoder.layers.17.self_attn_layer_norm.bias,encoder.layers.17.self_attn_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.17.self_attn_layer_norm.bias,0.23747425113940737,1.2653294585074073,1.2464254053106243,0.18767780165296546,0.9822347096765105,0.0225830078125,1024,torch.float32,"(1024,)",
encoder.layers.17.self_attn_layer_norm.weight,encoder.layers.17.self_attn_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.17.self_attn_layer_norm.weight,0.4861888197655866,7.552390817851383,7.5369827706438395,0.06437548472947072,0.9979257478031472,0.0635986328125,1024,torch.float32,"(1024,)",
encoder.layers.18.fc1.bias,encoder.layers.18.fc1.bias,av_romanizer.w2v_model.encoder.layers.18.fc1.bias,0.6779201039436245,3.9264549502917614,3.7321712111708814,0.17265449687465548,0.9856072172208435,0.048004150390625,4096,torch.float32,"(4096,)",
encoder.layers.18.fc1.weight,encoder.layers.18.fc1.weight,av_romanizer.w2v_model.encoder.layers.18.fc1.weight,69.51890984577547,322.68044286292434,309.68330883503353,0.215441968620662,0.976663605509311,0.245697021484375,4194304,torch.float32,"(4096, 1024)",
encoder.layers.18.fc2.bias,encoder.layers.18.fc2.bias,av_romanizer.w2v_model.encoder.layers.18.fc2.bias,0.4014575549828136,7.2077283545401825,6.929992494100483,0.05569820826140508,0.9991588408836461,0.041015625,1024,torch.float32,"(1024,)",
encoder.layers.18.fc2.weight,encoder.layers.18.fc2.weight,av_romanizer.w2v_model.encoder.layers.18.fc2.weight,74.38100911551226,347.2951910558306,333.74158318046136,0.21417229789270212,0.9769261507238767,0.3287353515625,4194304,torch.float32,"(1024, 4096)",
encoder.layers.18.final_layer_norm.bias,encoder.layers.18.final_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.18.final_layer_norm.bias,0.4406499377600512,8.781022816933103,8.579329556645135,0.050182074109899014,0.998981272924858,0.05322265625,1024,torch.float32,"(1024,)",
encoder.layers.18.final_layer_norm.weight,encoder.layers.18.final_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.18.final_layer_norm.weight,1.316513613219476,36.55103599705806,35.55336973012068,0.03601850336951982,0.9997160973382667,0.13189697265625,1024,torch.float32,"(1024,)",
